Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
1196,7,17,1782427.0,232802.0,1852,725
6209,11,25,89243.0,2059458.0,133,1480
6218,7,15,109012.0,260085.0,54,616
6242,10,16,5816.0,2456790.0,16,2645
6245,8,5,3703737.0,509844.0,1498,397
6247,7,12,20397.0,1027984.0,29,540
6255,9,9,480477.0,2076805.0,121,1238
6259,8,11,102974.0,1023720.0,79,669
6273,10,24,21559.0,2091504.0,32,1168
825,16,20,674842.0,2424422.0,195,2626
6289,11,18,2204807.0,1866991.0,1148,1452
6294,4,18,279369.0,900899.0,61,1140
6308,4,9,25058.0,458108.0,19,533
6334,4,7,6006.0,612174.0,29,220
6336,9,17,76864.0,1162934.0,52,911
6352,10,23,66270.0,851358.0,67,1255
6358,5,6,76053.0,945641.0,17,666
6379,9,16,1712373.0,1787794.0,336,612
6397,7,8,160211.0,769643.0,68,759
6426,5,15,2508530.0,257937.0,1116,410
6428,14,24,184241.0,2852815.0,149,1224
6444,11,24,353513.0,2250341.0,329,2817
6451,7,11,301444.0,1092422.0,116,854
6466,10,29,391396.0,3472379.0,293,2258
6483,12,22,7619376.0,2396281.0,276,1424
6485,5,12,15775.0,5540620.0,22,852
6512,6,17,122207.0,2064207.0,27,728
6517,10,11,5810782.0,2731188.0,5105,803
6527,5,8,199749.0,378561.0,773,370
6537,4,1,105933.0,467892.0,102,213
6543,6,7,479226.0,1399154.0,73,320
6554,7,22,446796.0,4745076.0,616,1348
6563,3,10,1148.0,608172.0,3,323
6574,3,16,434569.0,6751187.0,81,1644
6616,10,11,3165762.0,673458.0,1154,149
6627,8,17,58107.0,1207690.0,31,1139
6628,7,14,119073.0,943924.0,26,500
6641,14,27,1404790.0,1464078.0,3084,1305
6650,9,12,54662.0,183549.0,65,164
6698,18,27,749517.0,2430659.0,1525,2446
6737,13,16,1702086.0,1666224.0,580,1077
6745,11,21,194807.0,1710781.0,229,3605
6798,13,16,541410.0,207755.0,3187,778
6805,9,19,64916.0,1280499.0,46,1435
6809,4,6,922756.0,5700117.0,147,454
6829,15,19,5235918.0,1723484.0,6276,695
6865,9,11,830006.0,2882060.0,481,686
6877,16,15,2828451.0,3822772.0,2023,1193
6920,6,7,22450.0,331034.0,40,654
6923,9,16,19004.0,832442.0,46,998
6932,8,9,628138.0,6961262.0,84,303
6949,3,8,31585.0,976141.0,20,291
6952,7,12,905699.0,417151.0,2031,482
6978,5,10,513541.0,872558.0,34,512
7007,16,17,1817273.0,3069523.0,1331,1381
7043,7,16,21705510.0,7696523.0,737,737
7057,7,17,14419.0,932046.0,15,748
7059,12,16,3551948.0,1457780.0,1916,969
7060,12,18,150623.0,1563741.0,204,1915
7081,10,21,749745.0,117237.0,653,259
684,7,7,24419.0,712787.0,14,348
7084,7,17,25699.0,1520804.0,22,1034
7089,8,11,142568.0,1691177.0,74,781
7100,15,18,7743584.0,4558807.0,8141,2371
7114,7,3,56105.0,48773.0,188,65
7122,7,12,27681.0,799589.0,25,709
7143,8,16,252560.0,962895.0,76,742
7163,10,19,6060404.0,2665521.0,3714,908
7169,14,27,276961.0,2221067.0,2298,1830
7170,9,19,33521.0,1102986.0,30,827
7195,6,15,458503.0,423500.0,26,402
7197,12,16,697929.0,871521.0,1936,1048
7229,9,10,23371.0,1610647.0,46,1185
7230,7,3,13974.0,529104.0,35,965
7245,9,9,456647.0,697974.0,1245,317
7253,9,25,1305009.0,4706083.0,411,1450
7260,5,15,8952.0,665455.0,20,930
7277,9,18,211759.0,3568555.0,346,909
7293,15,25,3399541.0,1663254.0,1249,1732
7299,5,7,264575.0,746253.0,46,728
7301,12,10,120273.0,423153.0,65,459
7303,7,11,158897.0,1673222.0,22,1058
7325,10,16,165738.0,1220771.0,101,995
7328,6,18,80699.0,630463.0,54,803
7342,6,5,490859.0,782713.0,475,401
7344,6,12,33245.0,436459.0,26,802
7358,16,22,1310912.0,3361868.0,1528,1779
7368,14,19,4055631.0,792205.0,3735,1137
7378,7,21,23814153.0,5332126.0,233,622
7384,9,5,23490.0,720828.0,19,217
7391,9,10,309523.0,216249.0,362,963
7393,5,12,214305.0,2566231.0,102,2372
7398,12,20,130775.0,2278762.0,93,2350
7412,8,28,64372.0,1132584.0,16,865
7442,6,10,86178.0,770075.0,47,590
7460,11,16,1640312.0,1052116.0,455,1397
