Source Target Total Count
33 8795 29359.0 54
33 8804 16295.0 18
33 8810 1848950.0 862
33 1257 251723.0 25
33 8871 255664.0 34
33 8903 1880.0 2
33 8906 25.0 1
33 8908 22141.0 12
33 8918 3527.0 2
33 8922 13308.0 6
33 8928 5165.0 32
33 8936 29337.0 1
33 8946 10196.0 29
33 8948 34761.0 4
33 8957 6861.0 10
33 8969 2728.0 8
33 8986 30360.0 8
33 8987 14103.0 25
33 8999 10187.0 2
33 9005 1746.0 1
33 9044 1468.0 1
33 9046 1907.0 1
33 9048 3875.0 1
33 9067 969076.0 51
33 9092 2968.0 2
33 9116 46.0 1
33 1264 1950.0 1
33 9177 46760.0 19
33 9210 80378.0 34
33 9247 22426.0 15
33 9285 37240.0 6
33 9301 17454.0 2
33 9305 1196.0 5
33 9315 12673.0 9
33 9317 244654.0 160
33 1271 5802.0 8
33 9354 46813.0 6
33 9355 14009.0 9
33 1274 3240.0 8
33 9358 16514.0 9
33 9374 7890.0 2
33 9377 4925.0 4
33 9378 1000.0 1
33 9388 10471.0 2
33 9393 249513.0 160
33 9413 4921.0 8
33 9434 125.0 1
33 9435 1082.0 2
33 9436 5426.0 1
33 9437 1596.0 1
33 9440 905.0 1
33 9446 6356.0 10
33 9481 45.0 1
33 9514 30737.0 16
33 9540 1236545.0 937
33 9558 4000.0 1
33 9598 27009.0 11
33 9599 1700590.0 229
33 259 7009.0 8
33 9632 10530.0 8
33 9636 4633.0 11
33 9637 1284.0 3
33 9645 5591.0 3
33 9651 2029.0 1
33 869 80818.0 64
33 9661 237331.0 129
33 9662 784923.0 760
33 9670 102727.0 86
33 870 447679.0 250
33 9694 2425904.0 70
33 9700 524914.0 39
33 9714 26870.0 8
33 9718 2638.0 3
33 9730 8686.0 10
33 9739 593415.0 108
33 9770 89861.0 144
33 9777 335313.0 32
33 9794 2000.0 2
33 9806 23530.0 12
33 9825 312.0 4
33 9827 733.0 3
33 9842 31321.0 20
33 9868 49481.0 13
33 9872 110.0 1
33 1055 375.0 3
33 9877 8231.0 3
33 9884 15026.0 3
33 9892 3928.0 3
33 9894 13246.0 14
33 9909 78639.0 55
33 9914 29129.0 15
33 9922 4500.0 1
33 9973 5849.0 2
33 9975 3293.0 7
33 9976 7651.0 1
33 9996 29833.0 23
33 10023 220947.0 51
33 10024 15505.0 10
33 10028 1576.0 1
33 10030 3595.0 6
33 10038 6922.0 3
33 10054 62458.0 6
33 10062 1126.0 2
33 10102 49255.0 5
33 10104 957.0 1
33 877 18665.0 26
33 10158 2574.0 1
33 10163 13591.0 2
33 10169 133692.0 89
33 10170 200.0 2
33 760 6420.0 5
33 10185 602.0 1
33 10199 6702.0 7
33 10212 40.0 1
33 10235 68266.0 8
33 10245 1258.0 1
33 10268 1268.0 3
33 10281 868870.0 73
33 10291 75683.0 9
33 10310 1708.0 2
33 10317 5037.0 2
33 10318 40929.0 32
33 10354 8179.0 6
33 10375 152665.0 123
33 10408 700230.0 86
33 10421 65476.0 126
33 10432 23233.0 10
33 10438 9287.0 2
33 10444 46.0 1
33 10445 2365.0 2
33 10459 38571.0 45
33 10477 2000.0 2
33 10480 2030781.0 106
33 10499 303566.0 289
33 10506 61768.0 110
33 10518 120258.0 118
33 10560 3267.0 7
33 1306 37474.0 2
33 10573 1902.0 3
33 10580 9612.0 2
33 10586 10482.0 3
33 10587 3015.0 8
33 10596 225893.0 83
33 10598 7860.0 20
33 10605 1631.0 2
33 10621 105078.0 15
33 10626 2675.0 2
33 10628 43994.0 36
33 10633 7467.0 7
33 10658 1000.0 1
33 10690 3415.0 4
33 10714 580.0 1
33 10715 26620.0 15
33 10720 3037.0 1
33 10761 292.0 2
33 10767 6602.0 8
33 10783 56759.0 45
33 10784 8334.0 7
33 10789 3376.0 2
33 10795 31452.0 2
33 10797 10219.0 5
33 10816 14787.0 1
33 10821 2118.0 1
33 10850 27984.0 9
33 10859 27100.0 32
33 10872 24558.0 1
33 10873 5885.0 6
33 10890 2649.0 11
33 10905 116432.0 49
33 1319 3803.0 2
33 10918 15388.0 16
33 10923 2637.0 2
33 10931 1689.0 1
33 10951 1239.0 1
33 10953 1984791.0 1455
33 10956 70251.0 25
33 10957 76834.0 429
33 10965 12812.0 4
33 10979 83457.0 5
33 10984 12592.0 2
33 10992 699003.0 542
33 11000 6416.0 8
33 11010 19479.0 15
33 887 45662.0 11
33 11019 2093.0 2
33 11030 6653.0 17
33 11032 123.0 1
33 11071 145599.0 35
33 11073 23589.0 26
33 11083 14426.0 20
33 11101 7660.0 2
33 11110 5650.0 3
33 11115 15008.0 2
33 11124 71616.0 13
33 11126 29233.0 10
33 11149 389.0 13
33 11177 6416.0 8
33 11202 5355.0 3
33 11207 10413.0 16
33 11208 11837.0 15
33 11226 32708.0 3
33 11237 202308.0 4
33 11282 23397.0 6
33 11286 1575.0 3
33 11287 31069.0 31
33 11292 10266.0 6
33 1447 441825.0 22
33 11319 27996.0 12
33 11330 13331.0 35
33 11340 7626.0 2
33 11347 247.0 4
33 11379 5953.0 2
33 11380 2262.0 4
33 1062 22967.0 4
33 11398 435588.0 114
33 11410 4119.0 5
33 11411 7698.0 3
33 11429 7139.0 7
33 11437 1738.0 2
33 11438 15965.0 6
33 11439 11753.0 17
33 11458 391317.0 345
33 11468 48476.0 10
33 11474 8296.0 2
33 11478 2403.0 26
33 11480 144075.0 7
33 11498 41763.0 10
33 893 7363.0 2
33 11543 5880.0 2
33 1334 13765.0 13
33 11559 3288.0 3
33 11564 1721.0 4
33 11628 105560.0 47
33 11639 92367.0 92
33 11640 583.0 1
33 11647 1000.0 1
33 11660 12926.0 20
33 11662 274123.0 100
33 11670 222694.0 191
33 11678 93159.0 15
33 11687 1656.0 2
33 11688 28166.0 9
33 11689 14597.0 10
33 11722 11417.0 17
33 11736 1102.0 3
33 11758 5000.0 2
33 11764 97766.0 60
33 11770 663.0 1
33 11777 10370.0 2
33 11845 15914.0 12
33 11895 25993.0 6
33 11908 6547.0 3
33 11915 387.0 4
33 11928 70972.0 201
33 11933 5760.0 4
33 11940 5456.0 1
33 11951 5867.0 3
33 11953 2874.0 4
33 11982 445.0 4
33 11984 696716.0 57
33 11989 5280.0 4
33 11991 820.0 4
33 11999 4882.0 10
33 12055 13452.0 1
33 12064 15270.0 8
33 12065 132.0 2
33 1064 11080.0 13
33 12118 63239.0 6
33 12123 3102.0 1
33 12157 366451.0 56
33 12182 493593.0 63
33 12199 1000.0 1
33 12205 30286.0 2
33 12209 11687.0 3
33 12219 15323.0 4
33 12229 152484.0 21
33 12235 97471.0 53
33 12256 2279.0 1
33 12279 615.0 2
33 905 31016.0 53
33 12297 2020.0 1
33 12300 2079.0 3
33 12312 4426.0 6
33 12318 674.0 1
33 1028 1000.0 1
33 12354 11441.0 1
33 12363 12071.0 6
33 12368 14819.0 4
33 12372 4178.0 2
33 12374 411039.0 16
33 12387 61.0 1
33 12394 10640.0 9
33 12401 399988.0 80
33 12417 75664.0 97
33 12418 21699.0 2
