Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,cluster
592768,1,0,1361.0,0.0,8,0,0
973075,0,2,0.0,3623.0,0,8,0
1333526,0,1,0.0,116.0,0,1,0
646073,1,0,51.0,0.0,1,0,0
646191,1,0,128.0,0.0,1,0,0
1169699,0,1,0.0,411.0,0,2,0
569129,1,0,3150.0,0.0,9,0,0
609878,1,0,75.0,0.0,1,0,0
22855,0,1,0.0,222.0,0,7,0
1268051,0,1,0.0,179.0,0,1,0
1300819,0,1,0.0,231.0,0,4,0
1562978,0,1,0.0,499.0,0,4,0
1530226,0,1,0.0,207.0,0,1,0
22903,1,9,3215.0,1373472.0,2,368,0
1399180,0,1,0.0,5082.0,0,1,0
536537,1,0,139848.0,0.0,26,0,0
121244,0,3,0.0,135245.0,0,127,0
1464737,0,2,0.0,3185.0,0,3,0
55723,1,1,93766.0,7641.0,67,15,0
485275,1,0,4650.0,0.0,4,0,0
485283,1,0,357.0,0.0,3,0,0
485286,1,0,245.0,0.0,4,0,0
1268172,0,1,0.0,94.0,0,2,0
973262,0,1,0.0,26.0,0,1,0
729997,1,0,273.0,0.0,1,0,0
940596,0,1,0.0,445.0,0,1,0
973409,0,2,0.0,5252.0,0,15,0
1104489,0,1,0.0,17500.0,0,1,0
842349,0,1,0.0,4192.0,0,12,0
1464947,0,1,0.0,269.0,0,1,0
1530499,0,1,0.0,337.0,0,1,0
1563299,0,1,0.0,204.0,0,1,0
1137325,0,1,0.0,300.0,0,1,0
776883,0,1,0.0,6512.0,0,10,0
559113,1,0,98.0,0.0,9,0,0
416484,0,1,0.0,1171611.0,0,553,0
1137386,0,1,0.0,93974.0,0,8,0
1465068,0,1,0.0,155.0,0,1,0
1104626,0,7,0.0,945802.0,0,288,0
1596153,0,1,0.0,551.0,0,3,0
940805,0,1,0.0,139.0,0,1,0
1268488,0,1,0.0,1385.0,0,1,0
449303,2,1,6149.0,10593.0,118,10,0
584807,1,0,296107.0,0.0,80,0,0
584814,1,1,14080.0,3360.0,23,3,0
585662,1,0,4769.0,0.0,1,0,0
1497898,0,1,0.0,1515.0,0,1,0
31149,1,1,2420.0,45726.0,1,37,0
444580,1,0,178976.0,0.0,27,0,0
645962,0,1,0.0,4833.0,0,10,0
631082,1,0,145.0,0.0,1,0,0
631091,1,0,67.0,0.0,1,0,0
631220,1,0,39.0,0.0,1,0,0
631299,1,0,22.0,0.0,1,0,0
631461,1,0,24.0,0.0,1,0,0
1596283,0,1,0.0,825.0,0,14,0
1432448,0,1,0.0,19929.0,0,1,0
580498,1,1,143199.0,2928.0,56,4,0
1301408,0,2,0.0,3006.0,0,5,0
1563559,0,1,0.0,288.0,0,2,0
1039277,0,1,0.0,340.0,0,1,0
1399727,0,1,0.0,814.0,0,1,0
1072049,0,1,0.0,4341.0,0,1,0
1366966,0,2,0.0,1739.0,0,2,0
449463,1,1,53.0,21565.0,1,10,0
809916,0,1,0.0,3586.0,0,52,0
809931,0,1,0.0,2280.0,0,1,0
515023,0,2,0.0,1079.0,0,2,0
842718,0,2,0.0,134.0,0,2,0
1268714,0,1,0.0,4320.0,0,6,0
777211,0,1,0.0,357.0,0,1,0
1072126,0,1,0.0,857.0,0,2,0
1203229,0,1,0.0,3237.0,0,6,0
1039396,0,1,0.0,241.0,0,1,0
497325,1,0,211.0,0.0,2,0,0
973880,0,1,0.0,284.0,0,2,0
1498188,0,1,0.0,3061.0,0,9,0
1137744,0,4,0.0,809955.0,0,497,0
711781,0,1,0.0,1700.0,0,1,0
1006702,0,1,0.0,241.0,0,1,0
810105,0,1,0.0,29.0,0,2,0
1399943,0,1,0.0,3042.0,0,1,0
1465484,0,1,0.0,219.0,0,1,0
1334415,0,2,0.0,3359.0,0,18,0
810158,0,1,0.0,1354.0,0,2,0
1039537,0,1,0.0,293.0,0,1,0
1203378,0,1,0.0,198.0,0,1,0
1170623,0,1,0.0,3326.0,0,2,0
974019,0,1,0.0,104.0,0,1,0
456266,1,0,750.0,0.0,1,0,0
974054,0,1,0.0,1684.0,0,8,0
1465584,0,1,0.0,3797.0,0,1,0
1367286,0,1,0.0,45.0,0,1,0
285943,0,1,0.0,317.0,0,1,0
1367289,0,1,0.0,300.0,0,3,0
974080,0,1,0.0,19680.0,0,30,0
1203469,0,1,0.0,2400.0,0,5,0
