,in_degree,out_degree,in_strength_total,out_strength_total,label
538,1,0,9046,0,0
539,1,0,4347,0,0
540,1,0,138,0,0
541,1,0,62,0,0
542,1,1,1723,3888,0
543,2,0,6537,0,0
544,1,0,106,0,0
545,1,0,235,0,0
546,1,0,2627,0,0
547,1,0,9822,0,0
548,1,0,168,0,0
549,1,0,18727,0,0
550,1,0,34929,0,0
551,1,0,118,0,0
552,1,0,280,0,0
553,1,0,12758,0,0
554,1,0,239,0,0
555,1,0,102,0,0
556,1,0,28,0,0
557,1,0,334,0,0
558,1,0,122847,0,0
559,1,0,156,0,0
560,1,0,7766,0,0
561,1,0,1101,0,0
562,1,1,992727,6815,0
563,1,1,45,70,0
564,1,0,113,0,0
565,1,0,514,0,0
566,1,0,191,0,0
567,1,0,4065,0,0
568,1,0,3438,0,0
569,1,0,38,0,0
570,1,0,93848,0,0
571,1,0,101,0,0
572,1,0,13693,0,0
573,1,0,3333,0,0
574,1,0,3070,0,0
575,1,0,187,0,0
576,1,1,633,5195,0
577,3,0,10169,0,0
578,1,0,1851,0,0
579,1,0,102,0,0
580,1,0,33,0,0
581,1,0,26,0,0
582,1,0,1309,0,0
583,1,0,3933,0,0
584,1,0,15104,0,0
585,1,0,668,0,0
586,1,0,29299,0,0
587,1,0,14050,0,0
588,1,0,45576,0,0
589,1,0,191,0,0
590,1,0,222,0,0
591,1,0,5658,0,0
592,1,0,5840,0,0
593,1,0,1035,0,0
594,1,0,23551,0,0
595,1,0,1899,0,0
596,1,0,2000,0,0
597,1,0,87496,0,0
598,1,0,151878,0,0
599,1,0,72,0,0
600,1,0,128,0,0
601,1,0,2136,0,0
602,1,0,73,0,0
603,1,0,16284,0,0
604,1,0,21382,0,0
605,1,0,10084,0,0
606,1,0,266,0,0
607,1,0,4,0,0
608,1,0,921,0,0
609,1,0,445,0,0
610,1,0,23983,0,0
611,1,0,54136,0,0
612,1,0,942,0,0
613,1,1,33,42,0
614,2,0,21089,0,0
615,1,0,1017,0,0
616,1,1,315,19357,0
617,1,1,493,2042,0
618,1,0,12681,0,0
619,1,0,18677,0,0
620,1,0,248,0,0
621,2,0,2297,0,0
622,1,1,253,1029,0
623,1,0,1292,0,0
624,1,0,1960,0,0
625,1,0,254,0,0
626,1,0,5179,0,0
627,1,0,19732,0,0
628,1,0,4782,0,0
629,1,0,231,0,0
630,1,0,2084,0,0
631,1,0,6204,0,0
632,1,0,13745,0,0
633,1,0,1679,0,0
634,1,0,126,0,0
635,1,0,11253,0,0
636,1,0,9930,0,0
637,1,0,204,0,0
638,1,0,1400467,0,0
639,1,0,361,0,0
640,1,0,2406,0,0
641,1,0,68716,0,0
642,1,0,394,0,0
643,1,0,5557,0,0
644,1,0,14,0,0
645,1,0,37,0,0
646,1,0,30071,0,0
647,1,0,780,0,0
648,1,0,824,0,0
649,1,0,173,0,0
650,1,0,13,0,0
651,1,0,1102,0,0
652,1,0,1992,0,0
653,1,0,4590,0,0
654,1,0,3916,0,0
655,1,0,25044,0,0
656,1,0,75483,0,0
657,1,0,1792,0,0
658,1,0,14231,0,0
659,1,0,126,0,0
660,1,0,1635,0,0
661,1,0,5294,0,0
662,1,0,58508,0,0
663,1,0,921,0,0
664,1,0,70,0,0
665,1,0,3352,0,0
666,1,0,294,0,0
667,1,0,301,0,0
668,1,0,360,0,0
669,1,0,1269,0,0
670,1,0,370,0,0
671,1,0,2589,0,0
672,1,0,29,0,0
673,1,0,2090,0,0
674,1,0,0,0,0
675,1,0,6459,0,0
676,1,0,21495,0,0
677,1,0,41,0,0
678,1,0,1354,0,0
679,1,0,8242,0,0
680,1,0,3842,0,0
681,1,0,20256,0,0
682,1,0,883,0,0
683,1,0,1267,0,0
684,1,0,69040,0,0
685,1,0,3780,0,0
686,1,0,14235,0,0
687,1,0,979,0,0
688,1,0,64,0,0
689,1,0,25381,0,0
690,1,0,678,0,0
691,1,0,584,0,0
692,1,0,98,0,0
693,1,0,81,0,0
694,1,0,468,0,0
695,1,0,79124,0,0
696,1,0,4547,0,0
697,1,0,2219,0,0
698,1,0,1441,0,0
699,1,0,333,0,0
700,1,0,68625,0,0
701,1,0,1261,0,0
702,1,0,61,0,0
703,1,0,6053,0,0
704,1,0,2550392,0,0
