,f_degree_in,f_degree_out,f_amount_in,f_amount_out,f_nr_trans_in,f_nr_trans_out,f_ego_nr_nodes,f_ego_nr_edges,f_egored_degree_in,f_egored_degree_out,f_egored_amount_in,f_egored_amount_out,f_egored_nr_trans_in,f_egored_nr_trans_out,f_egored_nr_nodes,f_egored_nr_edges,f_rwalk_start_amount,f_rwalk_transfer_out,f_rwalk_out_back,f_rwalk_out_back_max,f_rwalk_end_amount,f_rwalk_transfer_in,f_rwalk_in_back,f_rwalk_in_back_max
15543,1.0,1.0,17179.0,13247.0,1.0,1.0,2.0,1.0,1.0,1.0,17179.0,13247.0,1.0,1.0,2.0,1.0,13247.0,2227.9,264.94,13247.0,17179.0,1944.79,813.26,13247.0
15544,1.0,3.0,366.0,7598.0,1.0,3.0,4.0,3.0,1.0,1.0,366.0,6752.0,1.0,1.0,2.0,1.0,2706.6,791.3,3.66,366.0,366.0,294.43,23.16,366.0
15545,1.0,1.0,2006.0,5010.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5010.0,5010.0,0.0,0.0,2006.0,803.12,0.0,0.0
15546,1.0,0.0,85.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,66.05,0.0,0.0
15547,1.0,0.0,274.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,219.96,0.0,0.0
15548,1.0,0.0,29.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,26.2,0.0,0.0
15549,1.0,0.0,18748.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18748.0,1125.67,0.0,0.0
15550,1.0,0.0,135.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,100.74,0.0,0.0
15551,2.0,0.0,1381.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,739.28,479.03,0.0,0.0
15552,1.0,0.0,74.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,63.27,0.0,0.0
15553,1.0,0.0,6088.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6088.0,1100.24,0.0,0.0
15554,1.0,0.0,253.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,183.3,0.0,0.0
15555,1.0,0.0,729.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,481.62,0.0,0.0
15556,1.0,1.0,67.0,5511.0,1.0,1.0,2.0,1.0,1.0,1.0,67.0,5511.0,1.0,1.0,2.0,1.0,5511.0,902.18,2.68,67.0,67.0,54.13,5.6,67.0
