,source,target,Total,Count
602,4062,4129,1182,3
603,4062,1847,10754,50
604,4062,1509183,161826,234
605,4062,103861,245594,81
606,4062,50372,6379,3
607,4062,1303748,123513,21
608,133431,3260,464237,384
609,133431,31473,423,2
610,130160,3260,810,3
611,130160,15629,2933,15
612,130160,49649,104,1
613,195025,3260,1125,3
614,195025,17027,10028,1
615,195025,9572,1663,1
616,327434,3260,3719,19
617,68,42535,5807,13
618,68,632,69,1
619,68,157467,11,1
620,68,6123,3543,1
621,68,224198,564,2
622,68,152102,8,2
623,68,17145,1497270,125
624,68,70490,345,3
625,68,49419,11,1
626,68,242784,55,2
627,68,249,1000,1
628,68,140564,290,1
629,68,25995,45238,14
630,68,224127,51,2
631,68,275465,11,1
632,68,3039,79,2
633,68,335856,20,3
634,68,72119,20,3
635,68,10752,63,1
636,68,18963,26,1
637,68,335863,66,1
638,183447,3260,9745,57
639,183447,3327,18803,76
640,183447,3737,5588,17
641,216667,3260,298,2
642,216667,9269,450,1
643,216667,33395,28541,4
644,3370,5530,821,3
645,3370,17897,225,1
646,31473,6949,4910,34
647,6949,31473,31452,103
648,6949,855147,2947,11
649,6949,110334,241,1
650,6949,965,3527,8
651,6949,15226,140,3
652,6949,547253,181,1
653,6949,44196,258282,339
654,339479,31473,333,1
655,339479,6456,964,2
656,178589,31473,166,1
657,178589,2441,99,1
658,178589,4909,330,1
659,1329101,31473,448,3
660,1329101,29423,2203,1
661,122740,31473,2538,45
662,241239,31473,84,1
663,241239,16261,62,1
664,494203,31473,238,1
665,494203,1262,1303,5
666,308863,31473,66285,101
667,308863,87054,11644,93
668,308863,70204,130332,635
669,855147,6412,11,1
670,965,20109,1055,2
671,965,15551,16360,14
672,965,40186,13521,20
673,965,23090,5804,8
674,965,122169,16351007,619
675,965,44013,3318,5
676,965,238783,2764,6
677,965,3259,3468,4
678,965,220822,6966,6
679,965,196834,6642,6
680,965,22791,261,2
681,965,586,7,1
682,965,19404,5340,5
683,965,12124,726,1
684,965,12020,968,2
685,965,156115,3416,4
686,965,42314,17687,2
687,965,221743,280,1
688,965,42625,2941,4
689,965,103652,1203,6
690,965,16694,1052,2
691,965,8962,4439,5
692,965,103128,13111,9
693,965,210735,9646,10
694,965,3090,929,3
695,965,16983,6404,9
696,965,38200,21859,4
697,965,48373,2600,4
698,965,86231,1795,2
699,965,110215,31475,16
700,965,116069,45334,9
701,965,21630,3485,5
702,965,3642,25443,23
703,965,3019,1982,6
704,965,26009,5710,14
705,965,983,14563,5
706,965,94533,546,2
707,965,28691,25491,11
708,965,10731,9752,2
709,965,30153,977,1
710,965,83222,981,1
711,965,77222,105,1
712,965,21815,4490,6
713,965,3684,14591,38
714,965,2309,1058,1
715,965,183908,672,3
716,965,6529,1296,8
717,965,14692,23,1
718,965,75116,3587,9
719,965,1935,71439,39
720,965,44764,54355,37
721,965,156117,2456,6
722,629521,6949,4573,2
723,547253,7738,1224,2
724,1245327,6949,871,1
725,1118366,6949,2837,1
726,1118366,26545,57,1
727,1341340,6949,46605,76
728,1341340,3855,60921,39
729,1341340,19306,10720,23
730,1341340,3734,24459,19
731,6456,130888,92343,89
732,6456,1821,14836,18
733,6456,173177,111273,121
734,6456,259614,97,1
735,6456,11734,80,1
736,274656,339479,7703,8
737,274656,4601,2611,2
738,274656,27844,20137,5
739,274656,352020,69,1
740,274656,57913,1491,9
741,3429,339479,16137,16
742,3429,64837,65,1
